"W001","P001","12500000","1000"
"W001","P002","11750000","1000"
"W001","P003","12350000","1000"
"W001","P004","11550000","1000"
"W001","P005","11050000","1000"
"W001","P006","11000000","1000"
"W001","P007","11100000","1000"
"W001","P008","11020000","1000"
"W001","P009","11000000","1000"
"W001","P010","11070000","1000"
"W002","P011","11030000","2000"
"W002","P012","11020000","2000"
"W002","P013","11060000","2000"
"W002","P014","11100000","2000"
"W002","P015","11100000","2000"
"W002","P016","11100000","2000"
"W002","P017","11120000","2000"
"W002","P018","11200000","2000"
"W002","P019","11710000","2000"
"W002","P200","11400000","2000"
"W003","P021","11900000","3000"
"W003","P022","11250000","3000"
"W003","P023","11750000","3000"
"W003","P024","11850000","3000"
"W003","P025","11950000","3000"
"W004","P026","13550000","3000"
"W004","P027","13550000","3000"
"W004","P028","13550000","3000"
"W004","P029","13550000","3000"
"W004","P030","13550000","3000"
"W005","P031","12550000","4000"
"W005","P032","13950000","4000"
"W005","P033","12560000","4000"
"W005","P034","13850000","4000"
"W005","P035","11200000","4000"
"W006","P036","11100000","4000"
"W006","P037","11100000","4000"
"W006","P038","11100000","4000"
"W006","P039","11200000","4000"
"W006","P040","11050000","4000"
"W007","P041","11050000","5000"
"W007","P042","11050000","5000"
"W007","P043","11950000","5000"
"W008","P044","12150000","5000"
"W008","P045","12350000","5000"
"W009","P046","12250000","5000"
"W009","P047","12000000","5000"
"W009","P048","13850000","5000"
"W010","P049","15550000","5000"
"W010","P050","14250000","5000"
